name;short_name;county_id
"COLEGIUL NATIONAL MILITAR ""MIHAI VITEAZUL"" ALBA IULIA";COLMIL ALBA IULIA;ALBA
"COLEGIUL NATIONAL MILITAR ""TUDOR VLADIMIRESCU"" CRAIOVA";COLEGIUL TUDOR VLADIMIRESCU CRAIOVA;DOLJ
COLEGIUL NATIONAL MIRCEA CEL BATRAN, MUN. RM. VALCEA;CN MIRCEA CEL BATRIN RM.VALCEA;VÂLCEA
"COLEGIUL NATIONAL ""NEAGOE BASARAB"" OLTENITA";"COLEGIUL NATIONAL ""NEAGOE BASARAB"" OLTENITA";CĂLĂRAŞI
"COLEGIUL NATIONAL ""NICOLAE TITULESCU"" CRAIOVA";COLEGIUL NICOLAE TITULESCU CRAIOVA;DOLJ
"COLEGIUL NATIONAL PEDAGOGIC ""REGELE FERDINAND"" SIGHETU MARMATIEI";CNPED R FERDINAND SIGHET;MARAMUREŞ
"COLEGIUL NATIONAL PEDAGOGIC ""REGINA MARIA"", MUNICIPIUL PLOIEȘTI";"COLEGIUL ""REGINA MARIA"" PLOIESTI";PRAHOVA
"COLEGIUL NATIONAL PEDAGOGIC ""SPIRU HARET"" FOCSANI";"COL. NAT. PEDAG. ""SPIRU HARET"" FOCSANI";VRANCEA
"COLEGIUL NATIONAL PEDAGOGIC ""STEFAN VELOVAN"" CRAIOVA";COLEGIUL STEFAN VELOVAN CRAIOVA;DOLJ
"COLEGIUL NATIONAL ""SPIRU HARET"", LOCALITATEA TECUCI";"COL.NAT.""S.HARET"" TC";GALAŢI
"COLEGIUL NATIONAL ""SPIRU HARET"" TG-JIU";"COL.NAT.""SPIRU HARET"" TG-JIU";GORJ
"COLEGIUL NATIONAL ""TITU MAIORESCU"" AIUD";"COLEGIUL ""T.M"" AIUD";ALBA
"COLEGIUL NATIONAL ""TUDOR ARGHEZI"" TG-CARBUNESTI";"COL.NAT.""T.ARGHEZI""TG-CARBUNESTI";GORJ
"COLEGIUL NATIONAL ""TUDOR VLADIMIRESCU"" TG-JIU";"COL.NAT.""T.VLADIMIRESCU"" TG-JIU";GORJ
"COLEGIUL NATIONAL ""UNIREA"" FOCSANI";"COL. NATIONAL ""UNIREA"" FOCSANI";VRANCEA
"COLEGIUL NATIONAL ""VASILE ALECSANDRI"", LOCALITATEA GALATI";"COL.NAT.""V.ALECSANDRI"" GL";GALAŢI
"COLEGIUL NATIONAL ""VASILE LUCACIU"" BAIA MARE";CN V LUCACIU BM;MARAMUREŞ
"COLEGIUL NAȚIONAL ""ALEXANDRU IOAN CUZA"" ALEXANDRIA";"CN ""ALEXANDRU IOAN CUZA"" ALEXANDRIA";TELEORMAN
"COLEGIUL NAȚIONAL ""ALEXANDRU IOAN CUZA"", MUNICIPIUL PLOIEȘTI";"COLEGIUL NAT ""AL. I. CUZA"" PLOIESTI";PRAHOVA
"COLEGIUL NAȚIONAL ""ALEXANDRU ODOBESCU"" PITEȘTI";CN AL. ODOBESCU PITEȘTI;ARGEŞ
"COLEGIUL NAȚIONAL ""ALEXANDRU PAPIU ILARIAN"" TÎRGU MUREȘ";"COL. NAȚ. ""AL. PAPIU ILARIAN"" TG. MUREȘ";MUREŞ
"COLEGIUL NAŢIONAL ""ALEXANDRU VLAHUŢĂ"" MUNICIPIUL RÎMNICU SĂRAT";"COLEGIUL ""AL.VLAHUŢĂ""";BUZĂU
"COLEGIUL NAŢIONAL ""ANA ASLAN""";"COLEGIUL NAŢIONAL ""ANA ASLAN""";BRĂILA
"COLEGIUL NAȚIONAL ""ANA ASLAN"" TIMIȘOARA";COL.NAT. A.ASLAN TIMISOARA;TIMIŞ
"COLEGIUL NAȚIONAL ""ANASTASESCU"" ROȘIORI DE VEDE";"CN ""ANASTASESCU"" ROȘIORI DE VEDE";TELEORMAN
"COLEGIUL NAȚIONAL ""ANDREI MUREȘANU"" BISTRIȚA";"COL NAȚ ""A.MUREȘANU"" BISTRIȚA";BISTRIŢA-NĂSĂUD
"COLEGIUL NAȚIONAL ""ANDREI MUREȘANU"" DEJ";"COLEGIUL NATIONAL ""ANDREI MUREȘANU"" DEJ";CLUJ
Colegiul Național 'Andrei Șaguna' Brașov;Colegiul Național 'Andrei Șaguna' Brașov;BRAŞOV
Colegiul Național 'Aprily Lajos' Brașov;Colegiul Național 'Aprily Lajos' Brașov;BRAŞOV
"Colegiul Naţional ""Aurel Vlaicu""";"Colegiul Naţional ""Aurel Vlaicu""";MUNICIPIUL BUCUREŞTI
"COLEGIUL NAȚIONAL ""AVRAM IANCU"" CÂMPENI";"COL. ""AI"" CÂMPENI";ALBA
"COLEGIUL NAȚIONAL ""AVRAM IANCU"" ȘTEI";"COLEGIUL NAȚIONAL ""AVRAM IANCU"" ȘTEI";BIHOR
"COLEGIUL NAŢIONAL ""B. P. HASDEU"" MUNICIPIUL BUZĂU";"COL. NAT.""B.P.HASDEU""";BUZĂU
COLEGIUL NAȚIONAL BĂNĂȚEAN TIMIȘOARA;COL. NAT. BANATEAN TIMISOARA;TIMIŞ
Colegiul Național Bilingv ”George Coșbuc”;Col.Naț.Bilingv ”George Coșbuc”;MUNICIPIUL BUCUREŞTI
